course-full,courde-code,course-title,course-href,level,
FM431M Corporate Finance A,FM431, Corporate Finance A,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM431M.htm,Postgraduate ,
LL413E International Economic Law II,LL413, International Economic Law II,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL413E.htm,Postgraduate ,
"EH424 The British Economy in Global Perspective, 1000-2000",EH424,"The British Economy in Global Perspective, 1000-2000",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH424.htm,Postgraduate ,
SA4D2 Global Health and Population Change,SA4D2,Global Health and Population Change,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4D2.htm,Postgraduate ,
SA4K4 MPA Dissertation,SA4K4,MPA Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4K4.htm,Postgraduate ,
AN442 Supervised Reading Course and Fieldwork Preparation,AN442,Supervised Reading Course and Fieldwork Preparation,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN442.htm,Postgraduate ,
EH404 India and the World Economy,EH404,India and the World Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH404.htm,Postgraduate ,
HY499 Dissertation,HY499,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY499.htm,Postgraduate ,
SO466 Race and Biopolitics,SO466,Race and Biopolitics,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO466.htm,Postgraduate ,
FM430 Corporate Finance and Asset Markets,FM430,Corporate Finance and Asset Markets,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM430.htm,Postgraduate ,
OR432 Operational Research and Decision Science in Practice,OR432,Operational Research and Decision Science in Practice,http://www.lse.ac.uk/resources/calendar/courseGuides/OR/2014_OR432.htm,Postgraduate ,
MY459 Special Topics in Quantitative Analysis: Applied Statistical Computing,MY459,Special Topics in Quantitative Analysis: Applied Statistical Computing,http://www.lse.ac.uk/resources/calendar/courseGuides/MY/2014_MY459.htm,Postgraduate ,
GY475 Issues in Environmental Governance,GY475,Issues in Environmental Governance,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY475.htm,Postgraduate ,
SA429 Understanding Social (Dis)advantage,SA429,Understanding Social (Dis)advantage,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA429.htm,Postgraduate ,
"PH427 Genes, Brains and Society",PH427,"Genes, Brains and Society",http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH427.htm,Postgraduate ,
IR444 Strategy in Action,IR444,Strategy in Action,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR444.htm,Postgraduate ,
MY421 Qualitative Research Methods,MY421,Qualitative Research Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/MY/2014_MY421.htm,Postgraduate ,
SA499 Dissertation: Population and Development,SA499,Dissertation: Population and Development,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA499.htm,Postgraduate ,
EC485 Further Topics in Econometrics,EC485,Further Topics in Econometrics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC485.htm,Postgraduate ,
"SA4K2 Sexuality, Everyday Lives and Social Policy in Developing Countries",SA4K2,"Sexuality, Everyday Lives and Social Policy in Developing Countries",http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4K2.htm,Postgraduate ,
MA416 The Foundations of Interest Rate and Credit Risk Theory,MA416,The Foundations of Interest Rate and Credit Risk Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA416.htm,Postgraduate ,
"AN457 Anthropology of Economy (2): Development, Transformation and Globalisation",AN457,"Anthropology of Economy (2): Development, Transformation and Globalisation",http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN457.htm,Postgraduate ,
EC406 Economic Policy Analysis,EC406,Economic Policy Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC406.htm,Postgraduate ,
ST442 Longitudinal Data Analysis,ST442,Longitudinal Data Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST442.htm,Postgraduate ,
DV418 African Development,DV418,African Development,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV418.htm,Postgraduate ,
GY423 Environment and Development,GY423,Environment and Development,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY423.htm,Postgraduate ,
SO449 Independent Project,SO449,Independent Project,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO449.htm,Postgraduate ,
DV435 African Political Economy,DV435,African Political Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV435.htm,Postgraduate ,
SA471 Social Policy and Planning - Long Essay,SA471,Social Policy and Planning - Long Essay,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA471.htm,Postgraduate ,
LL444E International Law and the Use of Force,LL444, International Law and the Use of Force,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL444E.htm,Postgraduate ,
"AC414 Financial Reporting, Capital Markets and Business Combinations",AC414,"Financial Reporting, Capital Markets and Business Combinations",http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC414.htm,Postgraduate ,
SA4A6 Dissertation: MSc International Health Policy and MSc International Health Policy (Health Economics),SA4A6,Dissertation: MSc International Health Policy and MSc International Health Policy (Health Economics),http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4A6.htm,Postgraduate ,
LL4AR International Criminal Law 1: Core Crimes and Concepts,LL4AR,International Criminal Law 1: Core Crimes and Concepts,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4AR.htm,Postgraduate ,
FM404 Forecasting Financial time Series,FM404,Forecasting Financial time Series,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM404.htm,Postgraduate ,
MG412 Globalization and Strategy,MG412,Globalization and Strategy,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG412.htm,Postgraduate ,
LL4BH Contemporary Issues of European Union Law,LL4BH,Contemporary Issues of European Union Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BH.htm,Postgraduate ,
GV478 Political Science and Public Policy,GV478,Political Science and Public Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV478.htm,Postgraduate ,
LL499 Dissertation: MSc Regulation,LL499,Dissertation: MSc Regulation,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL499.htm,Postgraduate ,
PS446 Issues in Organizational and Social Psychology: Organizational Life,PS446,Issues in Organizational and Social Psychology: Organizational Life,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS446.htm,Postgraduate ,
LL407E Regulation of Financial Markets II,LL407, Regulation of Financial Markets II,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL407E.htm,Postgraduate ,
IR437 Postcolonial Perspectives in International Relations,IR437,Postcolonial Perspectives in International Relations,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR437.htm,Postgraduate ,
IR452 Empire and Conflict in World Politics,IR452,Empire and Conflict in World Politics,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR452.htm,Postgraduate ,
"HY465 The International History of the Balkans since 1939: State Projects, Wars, and Social Conflict",HY465,"The International History of the Balkans since 1939: State Projects, Wars, and Social Conflict",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY465.htm,Postgraduate ,
MN415 The Analysis of Strategy A,MN415,The Analysis of Strategy A,http://www.lse.ac.uk/resources/calendar/courseGuides/MN/2014_MN415.htm,Postgraduate ,
SA4G6 Measuring Health System Performance,SA4G6,Measuring Health System Performance,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4G6.htm,Postgraduate ,
EC427 The Economics of Industry,EC427,The Economics of Industry,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC427.htm,Postgraduate ,
MG447 Foreign Direct Investment and Emerging Markets (modular),MG447,Foreign Direct Investment and Emerging Markets (modular),http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG447.htm,Postgraduate ,
"AC490 Management Accounting, Decisions and Control",AC490,"Management Accounting, Decisions and Control",http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC490.htm,Postgraduate ,
"GI409 Gender, Globalisation and Development: An Introduction",GI409,"Gender, Globalisation and Development: An Introduction",http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI409.htm,Postgraduate ,
EC424 Monetary Economics,EC424,Monetary Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC424.htm,Postgraduate ,
SA4K7 Health Care Negotiations,SA4K7,Health Care Negotiations,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4K7.htm,Postgraduate ,
GY455 Economic Appraisal and Valuation,GY455,Economic Appraisal and Valuation,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY455.htm,Postgraduate ,
EH447 Great Depressions in Economic History,EH447,Great Depressions in Economic History,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH447.htm,Postgraduate ,
"LL432E Mergers, Acquisitions and Restructurings",LL432," Mergers, Acquisitions and Restructurings",http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL432E.htm,Postgraduate ,
HY470 What is international about the 'International'?,HY470,What is international about the 'International'?,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY470.htm,Postgraduate ,
GV444 Democracy and Development in Latin America,GV444,Democracy and Development in Latin America,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV444.htm,Postgraduate ,
PS410 Social Representations,PS410,Social Representations,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS410.htm,Postgraduate ,
SA488 Social Policy Goals and Issues,SA488,Social Policy Goals and Issues,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA488.htm,Postgraduate ,
LL4BU Art and Antiquities Law,LL4BU,Art and Antiquities Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BU.htm,Postgraduate ,
MY457 Causal Inference for Observational and Experimental Studies,MY457,Causal Inference for Observational and Experimental Studies,http://www.lse.ac.uk/resources/calendar/courseGuides/MY/2014_MY457.htm,Postgraduate ,
GV432 Government and Politics in China,GV432,Government and Politics in China,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV432.htm,Postgraduate ,
"PH428 Emotion, Cognition and Behaviour: Science and Policy",PH428,"Emotion, Cognition and Behaviour: Science and Policy",http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH428.htm,Postgraduate ,
EH427 Quantitative topics in economic history II: time series and economic dynamics,EH427,Quantitative topics in economic history II: time series and economic dynamics,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH427.htm,Postgraduate ,
SA4C6 International Housing and Human Settlements, Conflicts and Communities,SA4C6,International Housing and Human Settlements,Postgraduate ,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4C6.htm
"PS439 Science, Technology and Resistance",PS439,"Science, Technology and Resistance",http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS439.htm,Postgraduate ,
GY420 Environmental Regulation: Implementing Policy,GY420,Environmental Regulation: Implementing Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY420.htm,Postgraduate ,
SO476 Researching Migration: research questions and research methods,SO476,Researching Migration: research questions and research methods,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO476.htm,Postgraduate ,
"GV4F9 African Politics, Wars and Violence",GV4F9,"African Politics, Wars and Violence",http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4F9.htm,Postgraduate ,
ST429 Probabilistic Methods in Risk Management and Insurance,ST429,Probabilistic Methods in Risk Management and Insurance,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST429.htm,Postgraduate ,
GV477 Comparative Public Policy Change,GV477,Comparative Public Policy Change,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV477.htm,Postgraduate ,
SA4C8 Globalisation and Social Policy,SA4C8,Globalisation and Social Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4C8.htm,Postgraduate ,
MY400 Fundamentals of Social Science Research Design,MY400,Fundamentals of Social Science Research Design,http://www.lse.ac.uk/resources/calendar/courseGuides/MY/2014_MY400.htm,Postgraduate ,
SA4D5 Social Rights and Human Welfare,SA4D5,Social Rights and Human Welfare,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4D5.htm,Postgraduate ,
IR460 Comparative Political Economy,IR460,Comparative Political Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR460.htm,Postgraduate ,
LL4Z7 Comparative Constitutional Law: Rights,LL4Z7,Comparative Constitutional Law: Rights,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4Z7.htm,Postgraduate ,
LL415E Fundamentals of International Commercial Arbitration,LL415, Fundamentals of International Commercial Arbitration,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL415E.htm,Postgraduate ,
LL468 European Human Rights Law,LL468,European Human Rights Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL468.htm,Postgraduate ,
EH491 Dissertation in the Poltical Economy of Late Development,EH491,Dissertation in the Poltical Economy of Late Development,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH491.htm,Postgraduate ,
ID499 Dissertation,ID499,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID499.htm,Postgraduate ,
"HY426 The European Enlightenment, c1680-1799",HY426,"The European Enlightenment, c1680-1799",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY426.htm,Postgraduate ,
EC484 Econometric Analysis,EC484,Econometric Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC484.htm,Postgraduate ,
GV4E8 Conflict and Institutional Design in Divided Societies,GV4E8,Conflict and Institutional Design in Divided Societies,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV4E8.htm,Postgraduate ,
MG403 Pricing Strategy,MG403,Pricing Strategy,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG403.htm,Postgraduate ,
GY404 Topics in Local Economic Development,GY404,Topics in Local Economic Development,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY404.htm,Postgraduate ,
PS409 Political Psychology of Intercultural Relations,PS409,Political Psychology of Intercultural Relations,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS409.htm,Postgraduate ,
SO430 Economic Sociology,SO430,Economic Sociology,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO430.htm,Postgraduate ,
DV429 Global Civil Society,DV429,Global Civil Society,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV429.htm,Postgraduate ,
LL402E Key Issues in Transnational Environmental Law,LL402, Key Issues in Transnational Environmental Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL402E.htm,Postgraduate ,
LL4CH Current Issues in Tax Law and Policy,LL4CH,Current Issues in Tax Law and Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4CH.htm,Postgraduate ,
PS4A4 Methods for Social Psychology Research: Advanced Qualitative and Advanced Quantitative Methods,PS4A4,Methods for Social Psychology Research: Advanced Qualitative and Advanced Quantitative Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS4A4.htm,Postgraduate ,
MN434 Empirical Strategy for Managerial Economics,MN434,Empirical Strategy for Managerial Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/MN/2014_MN434.htm,Postgraduate ,
MG414 Public Management and Governance,MG414,Public Management and Governance,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG414.htm,Postgraduate ,
IR416 The EU in the World,IR416,The EU in the World,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR416.htm,Postgraduate ,
EH419 Research Topics in Economic History,EH419,Research Topics in Economic History,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH419.htm,Postgraduate ,
MA409 Continuous Time Optimisation,MA409,Continuous Time Optimisation,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA409.htm,Postgraduate ,
LL4H4 Financial Law,LL4H4,Financial Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4H4.htm,Postgraduate ,
PH458 Evidence and Policy,PH458,Evidence and Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH458.htm,Postgraduate ,
ST440 Recent Developments in Finance and Insurance,ST440,Recent Developments in Finance and Insurance,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST440.htm,Postgraduate ,
PH430 Chaos and Spacetime Introduction to Philosophy of Physics I,PH430,Chaos and Spacetime Introduction to Philosophy of Physics I,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH430.htm,Postgraduate ,
FM422 Corporate Finance,FM422,Corporate Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM422.htm,Postgraduate ,
FM4T8 Financial Engineering - Dissertation,FM4T8,Financial Engineering - Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM4T8.htm,Postgraduate ,
AN449 Ethnography in Relation to Other Research Methods,AN449,Ethnography in Relation to Other Research Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN449.htm,Postgraduate ,
IR407 International Political Economy of the Environment,IR407,International Political Economy of the Environment,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR407.htm,Postgraduate ,
AN498 Dissertation- MSc China in Comparative Perspective,AN498,Dissertation- MSc China in Comparative Perspective,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN498.htm,Postgraduate ,
IR429 Economic Diplomacy,IR429,Economic Diplomacy,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR429.htm,Postgraduate ,
ID435 Organisational Theory,ID435,Organisational Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/ID/2014_ID435.htm,Postgraduate ,
EU421 Policy-Making in the European Union,EU421,Policy-Making in the European Union,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU421.htm,Postgraduate ,
DV428 Managing Humanitarianism,DV428,Managing Humanitarianism,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV428.htm,Postgraduate ,
ST439 Stochastics for Derivatives Modelling,ST439,Stochastics for Derivatives Modelling,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST439.htm,Postgraduate ,
EU426 The West: Identity and Interests,EU426,The West: Identity and Interests,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU426.htm,Postgraduate ,
IS485 Management and Economics of E-Business,IS485,Management and Economics of E-Business,http://www.lse.ac.uk/resources/calendar/courseGuides/IS/2014_IS485.htm,Postgraduate ,
EC428 Development and Growth,EC428,Development and Growth,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC428.htm,Postgraduate ,
AN455 Statistics and Causal Analysis for Social Anthropologists,AN455,Statistics and Causal Analysis for Social Anthropologists,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN455.htm,Postgraduate ,
"SA4G5 Valuation, Behaviour and Policy",SA4G5,"Valuation, Behaviour and Policy",http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA4G5.htm,Postgraduate ,
FM431L Corporate Finance A,FM431, Corporate Finance A,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM431L.htm,Postgraduate ,
"GI421 Sexuality, Gender and Culture",GI421,"Sexuality, Gender and Culture",http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI421.htm,Postgraduate ,
MC408 Theories and Concepts in Media and Communications I (Key concepts and interdisciplinary approaches),MC408,Theories and Concepts in Media and Communications I (Key concepts and interdisciplinary approaches),http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC408.htm,Postgraduate ,
MG426 Organisations in the Economy and Society,MG426,Organisations in the Economy and Society,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG426.htm,Postgraduate ,
PS421 Issues in Social Psychology: Group Dynamics,PS421,Issues in Social Psychology: Group Dynamics,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS421.htm,Postgraduate ,
LL497 Half Unit Self Standing Elective Essay,LL497,Half Unit Self Standing Elective Essay,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL497.htm,Postgraduate ,
LL4H7 Foundations of Legal Theory,LL4H7,Foundations of Legal Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4H7.htm,Postgraduate ,
MC422 Critical Studies in Media and Journalism,MC422,Critical Studies in Media and Journalism,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC422.htm,Postgraduate ,
MC4M2 Advanced Methods of Research in Media & Communications (including Qualitative & Quantitative Analysis),MC4M2,Advanced Methods of Research in Media & Communications (including Qualitative & Quantitative Analysis),http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC4M2.htm,Postgraduate ,
EU4V8 MPA Policy Paper,EU4V8,MPA Policy Paper,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU4V8.htm,Postgraduate ,
GY441 The Politics of Housing,GY441,The Politics of Housing,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY441.htm,Postgraduate ,
"GI402 Gender, Knowledge and Research Practice",GI402,"Gender, Knowledge and Research Practice",http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI402.htm,Postgraduate ,
LL4A8 International Law and the Use of Force,LL4A8,International Law and the Use of Force,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4A8.htm,Postgraduate ,
"LL4E9 Dissertation: MSc Law, Anthropology and Society",LL4E9,"Dissertation: MSc Law, Anthropology and Society",http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4E9.htm,Postgraduate ,
EU462 Partisanship in Europe,EU462,Partisanship in Europe,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU462.htm,Postgraduate ,
DV432 China in Developmental Perspective,DV432,China in Developmental Perspective,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV432.htm,Postgraduate ,
LL412E International Economic Law I,LL412, International Economic Law I,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL412E.htm,Postgraduate ,
FM436 Financial Economics,FM436,Financial Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM436.htm,Postgraduate ,
LL418E Comparative Corporate Governance,LL418, Comparative Corporate Governance,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL418E.htm,Postgraduate ,
MG427 Innovation in Organisations,MG427,Innovation in Organisations,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG427.htm,Postgraduate ,
MC411 Media and Globalization,MC411,Media and Globalization,http://www.lse.ac.uk/resources/calendar/courseGuides/MC/2014_MC411.htm,Postgraduate ,
EU425 Interest Representation and Economic Policy- Making in Europe,EU425,Interest Representation and Economic Policy- Making in Europe,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU425.htm,Postgraduate ,
MG405 Behavioural Decision Science,MG405,Behavioural Decision Science,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG405.htm,Postgraduate ,
GY460 Techniques of Spatial Economic Analysis,GY460,Techniques of Spatial Economic Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY460.htm,Postgraduate ,
ST441 Introduction to Markov Processes and their Applications,ST441,Introduction to Markov Processes and their Applications,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST441.htm,Postgraduate ,
EH451 Latin American Development: Political Economy of Growth,EH451,Latin American Development: Political Economy of Growth,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH451.htm,Postgraduate ,
"EU449 Emerging Markets, Political Transition and Economic Development in Central and Eastern Europe",EU449,"Emerging Markets, Political Transition and Economic Development in Central and Eastern Europe",http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU449.htm,Postgraduate ,
"SO481 Class, Politics and Culture",SO481,"Class, Politics and Culture",http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO481.htm,Postgraduate ,
GV481 Political Science and Political Economy,GV481,Political Science and Political Economy,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV481.htm,Postgraduate ,
EU476 Turkey and Europe,EU476,Turkey and Europe,http://www.lse.ac.uk/resources/calendar/courseGuides/EU/2014_EU476.htm,Postgraduate ,
DV434 Human Security,DV434,Human Security,http://www.lse.ac.uk/resources/calendar/courseGuides/DV/2014_DV434.htm,Postgraduate ,
AN458 Children and Youth in Contemporary Ethnography,AN458,Children and Youth in Contemporary Ethnography,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN458.htm,Postgraduate ,
LL4BD Policing: Contemporary Issues and Controversies,LL4BD,Policing: Contemporary Issues and Controversies,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4BD.htm,Postgraduate ,
LL4K4 The International Law of Self-Determination,LL4K4,The International Law of Self-Determination,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4K4.htm,Postgraduate ,
EH423 Japan and Korea as Developing Economies,EH423,Japan and Korea as Developing Economies,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH423.htm,Postgraduate ,
MY429 Special Topics in Qualitative Research: Introspection-based Methods in Social Research,MY429,Special Topics in Qualitative Research: Introspection-based Methods in Social Research,http://www.lse.ac.uk/resources/calendar/courseGuides/MY/2014_MY429.htm,Postgraduate ,
GI413 Gender and Militarisation,GI413,Gender and Militarisation,http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI413.htm,Postgraduate ,
OR428 Model Building in Mathematical Programming,OR428,Model Building in Mathematical Programming,http://www.lse.ac.uk/resources/calendar/courseGuides/OR/2014_OR428.htm,Postgraduate ,
FM409 Risk Management for Financial Institutions,FM409,Risk Management for Financial Institutions,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM409.htm,Postgraduate ,
GV403 Network Regulation,GV403,Network Regulation,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV403.htm,Postgraduate ,
LL4Z6 Comparative Constitutional Law: Institutions,LL4Z6,Comparative Constitutional Law: Institutions,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL4Z6.htm,Postgraduate ,
HY447 Hacking The Archive,HY447,Hacking The Archive,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY447.htm,Postgraduate ,
MG456 Risk and Decision Analysis for Management and Policy,MG456,Risk and Decision Analysis for Management and Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG456.htm,Postgraduate ,
FM475 Financial Management,FM475,Financial Management,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM475.htm,Postgraduate ,
LL490 LLM Self-standing full unit Dissertation,LL490,LLM Self-standing full unit Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL490.htm,Postgraduate ,
MA419 Search Games,MA419,Search Games,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA419.htm,Postgraduate ,
PH445 Dissertation Seminar - Philosophy of Science,PH445,Dissertation Seminar - Philosophy of Science,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH445.htm,Postgraduate ,
AN419 The Anthropology of Christianity,AN419,The Anthropology of Christianity,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN419.htm,Postgraduate ,
IR431 European Union Policy Making in a Global-Context,IR431,European Union Policy Making in a Global-Context,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR431.htm,Postgraduate ,
